155,-72,39
146,-68,47
131,-62,63
116,-66,67
110,-50,76
98,-45,76
94,-31,81
82,-24,81
92,3,82
109,17,75
110,28,76
122,37,63
134,37,63
146,41,55
157,42,41
168,41,40
170,39,33
178,30,34
179,31,25
190,18,27
192,7,24
194,-4,30
190,-15,29
183,-34,36
176,-41,41
166,-57,41
154,-73,50
134,-81,51
118,-89,55
103,-93,61
94,-93,61
69,-99,62
61,-90,59
52,-89,65
38,-82,67
24,-70,70
17,-58,77
10,-40,82
0,-24,86
0,-15,76
7,2,81
24,17,82
29,29,84
50,46,79
72,49,81
94,54,66
111,60,65
128,62,52
154,48,55
159,52,44
181,40,34
191,29,25
201,15,11
212,-2,6
211,-12,-3
212,-35,-7
206,-53,-8
204,-67,-15
191,-80,-2
189,-82,3
170,-99,6
151,-108,13
135,-111,20
121,-118,33
102,-118,40
84,-121,44
69,-118,50
50,-118,55
32,-112,54
15,-108,52
2,-93,54
-15,-86,54
-18,-75,60
-31,-64,56
-36,-50,61
-45,-31,63
-44,-18,60
-46,5,62
-37,22,62
-22,42,63
-10,54,61
5,72,55
24,91,55
47,94,59
64,105,43
88,112,40
101,115,31
121,119,23
132,119,11
146,121,3
158,114,-4
165,105,-9
179,102,-14
188,97,-18
199,89,-23
205,76,-24
213,71,-32
221,66,-42
222,57,-41
226,46,-41
224,41,-41
233,27,-41
228,16,-40
228,4,-30
230,-3,-20
229,-11,-19
213,-29,2
211,-45,2
184,-58,25
163,-66,38
144,-73,55
110,-79,73
69,-77,79
36,-70,77
12,-80,70
-11,-75,62
-29,-74,61
-46,-73,52
-53,-75,45
-68,-68,38
-71,-60,44
-71,-48,34
-83,-29,34
-92,-15,24
-88,2,22
-96,5,23
-86,8,28
-82,15,33
-70,24,45
-64,33,44
-49,53,47
-42,55,50
-44,65,47
-35,69,52
-28,76,50
-19,85,49
-5,89,49
7,97,46
17,95,55
24,93,55
36,91,67
47,80,73
64,55,87
72,28,98
110,-10,93
126,-24,86
139,-23,87
157,-29,78
163,-30,70
168,-37,57
174,-45,59
177,-54,65
170,-63,57
151,-77,65
128,-92,65
96,-105,68
69,-118,70
45,-115,65
15,-120,60
-17,-112,56
-31,-95,56
-66,-74,41
-85,-45,36
-96,-14,15
-109,18,-5
-110,55,-19
-95,85,-35
-88,97,-52
-78,106,-62
-69,106,-67
-70,110,-66
-77,107,-61
-77,100,-46
-83,85,-23
-75,74,-2
-65,67,25
-55,49,56
-38,37,68
-22,18,83
-5,11,95
23,0,95
44,-8,105
68,-29,103
96,-36,103
115,-45,103
136,-50,78
158,-47,65
179,-56,52
188,-50,36
195,-48,22
202,-45,27
206,-45,19
202,-57,19
191,-66,25
186,-68,30
166,-79,36
145,-98,46
121,-103,57
89,-116,56
51,-119,61
7,-112,51
-33,-100,41
-68,-82,28
-96,-58,6
-117,-28,-16
-119,8,-56
-115,41,-95
-98,62,-115
-77,76,-144
-57,80,-163
-46,81,-181
-24,94,-183
-18,95,-189
-15,89,-190
-13,95,-194
-23,95,-189
-29,97,-178
-39,93,-169
-56,102,-144
-69,99,-116
-72,102,-80
-60,105,-56
-60,98,-36
-48,99,-15
-45,97,9
-30,88,28
-18,81,45
-5,59,63
7,42,86
21,18,88
35,-5,88
48,-28,102
68,-57,91
88,-77,84
96,-88,76
114,-101,62
128,-103,50
149,-94,38
156,-99,33
163,-103,28
155,-109,31
144,-111,38
122,-114,44
104,-118,50
70,-114,61
35,-112,61
-2,-89,65
-33,-74,59
-43,-67,54
-64,-31,49
-80,-27,36
-90,-10,22
-97,18,4
-96,48,-7
-97,63,-25
-78,92,-57
-63,119,-78
-36,132,-94
-16,140,-117
-9,138,-130
-5,132,-143
3,136,-142
0,132,-148
-2,136,-149
-5,134,-146
-9,131,-137
-25,131,-122
-56,121,-108
-68,105,-80
-86,91,-63
-95,68,-57
-99,61,-40
-100,46,-29
-103,31,-12
-102,23,0
-97,2,14
-89,1,18
-82,-6,35
-79,-25,40
-77,-32,47
-64,-45,56
-53,-56,60
-48,-57,59
-38,-60,68
-37,-58,67
-23,-54,77
-20,-56,72
-8,-62,78
10,-68,77
23,-76,76
31,-75,84
54,-81,83
59,-82,75
72,-86,73
96,-86,78
101,-95,68
102,-99,65
99,-108,60
85,-111,62
70,-119,54
50,-127,40
21,-131,46
-10,-128,22
-38,-128,14
-68,-122,3
-76,-100,-3
-95,-90,-18
-105,-75,-29
-110,-73,-39
-117,-56,-56
-127,-45,-67
-124,-37,-88
-123,-19,-101
-125,-12,-106
-122,1,-115
-116,9,-131
-113,26,-131
-104,26,-141
-99,37,-143
-91,55,-154
-71,61,-160
-68,74,-164
-68,72,-167
-60,67,-169
-76,52,-168
-83,35,-160
-98,17,-154
-110,-6,-154
-100,-14,-154
-104,-12,-146
-112,1,-137
-109,16,-124
-111,35,-111
-115,43,-90
-104,54,-77
-103,62,-71
-98,76,-58
-91,79,-46
-85,85,-47
-82,95,-41
-68,98,-46
-78,94,-55
-91,69,-53
-110,48,-56
-112,39,-48
-116,26,-60
-115,43,-68
-106,61,-84
-86,95,-88
-59,115,-99
-46,126,-108
-49,117,-100
-63,105,-108
-86,84,-125
-85,66,-143
-77,48,-157
-72,43,-179
-69,40,-192
-44,39,-204
-31,35,-212
-23,27,-226
-20,24,-226
-11,10,-231
-6,1,-233
7,-17,-237
17,-23,-240
21,-27,-244
30,-36,-239
36,-37,-238
38,-32,-243
43,-42,-238
49,-43,-239
54,-38,-242
56,-29,-247
64,-28,-240
65,-22,-239
74,-18,-243
82,2,-244
89,9,-237
101,14,-237
102,29,-238
104,41,-238
115,63,-224
124,75,-215
123,88,-206
111,93,-199
106,105,-201
106,110,-189
95,129,-181
98,132,-168
90,133,-172
90,133,-169
89,132,-168
79,142,-178
87,130,-170
90,136,-169
92,138,-159
92,143,-154
98,146,-151
99,155,-144
90,145,-142
88,155,-130
81,157,-135
70,156,-138
57,155,-137
43,152,-144
36,152,-144
29,150,-147
25,144,-151
19,138,-159
24,131,-167
22,126,-176
30,127,-180
37,118,-188
47,120,-192
62,117,-191
65,113,-200
70,99,-207
71,91,-226
74,76,-223
78,65,-226
77,56,-232
75,47,-232
70,30,-239
71,22,-236
61,7,-244
52,-14,-243
37,-27,-249
28,-34,-239
19,-54,-240
4,-67,-229
-6,-80,-218
-20,-96,-199
-40,-109,-192
-50,-116,-175
-68,-111,-162
-69,-121,-156
-79,-108,-154
-85,-83,-165
-76,-62,-183
-64,-29,-195
-49,-16,-216
-37,3,-223
-19,14,-222
-4,29,-236
14,44,-234
27,53,-236
38,55,-231
61,66,-239
71,62,-233
94,66,-232
106,72,-221
114,67,-221
119,78,-210
132,81,-206
137,84,-204
138,80,-207
132,91,-201
126,85,-205
118,88,-208
111,91,-211
81,98,-218
70,87,-220
47,94,-212
25,87,-215
-10,80,-210
-28,57,-208
-44,41,-201
-56,39,-201
-66,26,-185
-78,16,-180
-79,8,-176
-89,-2,-174
-90,-10,-168
-100,-16,-169
-93,-16,-164
-100,-21,-162
-100,-16,-157
-99,-12,-153
-112,-14,-137
-115,-6,-135
-115,1,-135
-112,17,-130
-110,24,-130
-111,33,-119
-107,31,-105
-115,31,-103
-118,40,-84
-118,35,-74
-119,41,-56
-109,37,-40
-104,37,-23
-95,42,-5
-80,40,12
-78,40,24
-63,39,33
-57,40,46
-46,41,50
-37,31,60
-28,31,70
-20,29,72
-11,41,79
2,42,73
2,49,76
10,55,67
18,61,73
28,63,68
22,74,77
25,75,68
31,81,62
23,92,59
31,102,50
37,113,41
35,123,31
44,134,17
50,143,3
52,150,-12
64,152,-24
67,155,-41
83,164,-53
78,159,-66
87,165,-77
90,169,-83
94,163,-99
92,157,-110
95,157,-120
102,145,-144
99,140,-167
91,132,-178
88,126,-186
78,117,-194
65,106,-205
49,99,-215
36,81,-213
28,73,-220
25,56,-227
35,40,-239
32,33,-242
36,27,-248
30,21,-244
37,11,-249
43,17,-245
50,17,-250
56,26,-249
58,33,-247
63,44,-242
70,44,-239
65,44,-242
67,48,-238
59,55,-236
62,50,-240
62,53,-238
69,62,-238
70,87,-217
81,112,-196
88,133,-174
97,147,-142
106,147,-112
112,156,-77
114,152,-51
114,147,-26
129,139,-10
136,125,4
129,123,14
131,113,31
139,107,23
145,97,29
154,91,33
157,71,44
165,50,50
166,26,66
164,0,61
166,-22,59
170,-37,55
168,-49,55
166,-64,49
162,-79,49
156,-82,43
159,-86,39
164,-90,34
163,-96,33
157,-100,31
163,-103,35
155,-105,29
155,-100,31
152,-105,31
151,-103,33
148,-90,41
149,-77,47
145,-57,59
143,-36,68
134,-3,76
130,34,65
125,72,62
128,95,45
128,117,20
130,136,-9
135,155,-46
128,159,-93
138,158,-128
135,133,-157
132,114,-184
124,106,-202
128,86,-213
126,80,-217
116,79,-223
125,81,-216
126,85,-215
135,102,-191
145,118,-173
145,132,-141
163,133,-110
168,131,-63
175,119,-21
172,102,11
162,80,31
150,59,56
134,26,78
126,4,76
119,-10,88
114,-16,84
105,-15,86
111,1,84
111,-4,77
117,16,78
136,44,61
175,119,-24
177,138,-63
166,137,-104
164,127,-126
155,120,-165
130,112,-191
114,88,-216
97,57,-228
91,16,-242
85,13,-245
84,7,-252
84,11,-244
82,7,-252
79,0,-244
79,7,-247
81,5,-248
78,1,-243
76,10,-245
71,1,-248
70,7,-249
69,8,-250
62,5,-253
59,8,-248
61,18,-247
59,43,-245
64,69,-236
79,101,-212
101,123,-178
119,144,-131
134,144,-69
136,132,-25
135,114,11
136,94,41
130,74,62
119,37,73
123,-2,82
115,-31,83
109,-49,84
104,-66,77
105,-69,78
102,-63,72
98,-64,76
96,-57,71
91,-50,81
88,-18,82
87,14,86
76,57,77
72,94,59
67,119,30
70,146,-5
71,166,-36
81,164,-88
74,159,-130
78,100,-208
63,66,-234
56,35,-244
50,27,-243
49,35,-247
49,33,-242
38,29,-240
32,23,-239
32,23,-244
32,18,-239
29,24,-250
35,28,-244
31,48,-238
30,75,-224
35,99,-207
41,126,-184
48,143,-152
49,156,-119
64,159,-63
58,153,-25
59,133,15
61,104,49
56,68,81
58,16,91
62,-30,92
63,-74,83
61,-95,68
58,-109,59
64,-113,57
57,-122,52
54,-131,44
54,-128,41
55,-125,50
56,-114,59
47,-81,73
41,-37,87
30,21,88
24,84,62
37,125,29
42,144,-8
55,173,-44
63,168,-94
77,153,-133
82,137,-173
85,110,-206
97,69,-228
97,-9,-243
105,-19,-247
99,-14,-238
105,-15,-239
98,-15,-247
106,-9,-248
97,8,-248
102,69,-223
91,108,-210
85,136,-169
82,158,-116
69,166,-61
59,150,-7
43,126,30
35,87,66
31,48,79
29,10,99
29,-23,94
28,-48,88
31,-66,87
36,-68,82
42,-79,86
56,-90,73
64,-113,67
64,-120,47
63,-128,46
64,-137,43
58,-133,41
62,-130,40
65,-124,51
64,-120,57
57,-96,70
65,-67,78
71,-25,94
69,15,82
65,63,78
67,95,52
56,127,27
55,147,3
52,150,-2
47,149,-13
41,157,-16
35,158,-28
24,162,-36
12,159,-56
10,157,-61
7,160,-69
9,168,-77
12,162,-80
2,160,-99
7,160,-111
7,153,-126
14,151,-133
18,149,-141
16,151,-143
21,146,-141
11,149,-151
24,140,-162
18,139,-168
22,131,-174
14,127,-178
12,117,-181
15,126,-181
10,117,-184
12,121,-189
10,114,-191
12,114,-191
17,119,-191
30,120,-185
52,133,-176
58,134,-170
55,145,-159
56,142,-158
57,152,-149
63,156,-138
70,160,-126
85,164,-103
91,163,-84
95,173,-73
101,163,-69
99,162,-58
99,162,-56
103,165,-52
104,162,-36
109,155,-36
103,163,-42
91,168,-50
87,160,-62
79,168,-69
75,170,-87
65,175,-94
67,164,-110
64,166,-127
63,163,-133
57,155,-132
50,157,-135
47,158,-124
49,165,-104
51,160,-96
63,165,-64
71,162,-44
79,151,-20
82,137,12
87,132,29
90,126,35
90,126,33
92,131,28
102,121,35
104,110,45
106,114,43
116,114,38
136,123,24
136,125,17
144,131,-7
146,124,-4
156,124,6
161,121,3
162,115,-3
166,115,-10
171,111,-10
176,106,-15
186,107,-21
177,110,-16
189,107,-21
186,105,-26
186,107,-26
191,107,-26
192,108,-32
192,106,-20
175,105,-4
169,99,7
157,108,9
155,113,19
154,112,25
149,98,25
152,101,36
150,104,24
157,108,14
156,117,3
157,134,-10
146,133,-19
145,139,-23
145,144,-32
136,149,-32
139,152,-44
141,149,-57
149,152,-71
156,147,-85
163,145,-98
164,139,-119
176,123,-131
179,112,-147
177,95,-167
181,80,-175
186,57,-191
176,26,-210
165,17,-216
154,-11,-226
141,-27,-237
122,-31,-242
97,-49,-240
84,-64,-244
62,-75,-240
42,-90,-239
24,-87,-236
1,-94,-231
-20,-99,-216
-35,-96,-213
-38,-100,-210
-44,-96,-213
-52,-95,-207
-60,-89,-201
-64,-93,-197
-66,-86,-202
-79,-73,-194
-73,-74,-197
-80,-64,-205
-85,-60,-200
-82,-51,-201
-85,-45,-205
-77,-42,-211
-65,-30,-216
-60,-16,-221
-40,-8,-232
-26,14,-239
-3,28,-252
31,36,-248
52,41,-250
89,59,-239
108,68,-227
134,73,-215
158,79,-196
184,74,-181
192,71,-163
209,73,-148
211,71,-131
213,71,-111
216,78,-94
210,86,-71
211,92,-55
203,95,-44
198,91,-34
188,99,-18
181,106,-5
159,104,7
156,100,15
143,104,22
135,107,23
117,113,36
116,114,33
108,123,36
106,110,40
108,118,36
106,119,38
103,113,36
110,111,36
110,118,29
106,112,33
121,117,28
117,120,24
129,118,9
135,129,3
146,117,-9
155,125,-13
161,119,-12
158,129,-16
163,129,-36
170,136,-39
174,130,-52
179,119,-71
191,112,-88
205,107,-112
196,98,-125
201,88,-137
198,84,-149
196,74,-162
196,65,-172
191,55,-176
182,48,-194
182,43,-201
169,30,-212
146,22,-223
126,16,-242
119,11,-247
102,8,-250
94,0,-252
85,1,-248
65,0,-252
61,-8,-249
47,-8,-252
34,-9,-250
14,-12,-249
9,-19,-244
1,-25,-243
-10,-38,-242
-28,-49,-231
-42,-58,-226
-48,-69,-215
-71,-69,-200
-80,-81,-185
-91,-89,-181
-100,-89,-157
-116,-90,-146
-118,-81,-126
-125,-86,-109
-126,-80,-93
-131,-73,-88
-131,-80,-83
-127,-83,-77
-125,-81,-69
-131,-80,-56
-127,-74,-52
-132,-74,-40
-125,-76,-37
-119,-77,-31
-120,-74,-30
-119,-80,-31
-122,-73,-34
-127,-81,-30
-120,-95,-45
-125,-93,-42
-118,-102,-57
-112,-106,-68
-110,-108,-85
-110,-118,-103
-106,-116,-109
-98,-118,-120
-96,-118,-132
-92,-114,-138
-91,-113,-152
-82,-115,-159
-71,-114,-165
-71,-112,-175
-65,-103,-186
-53,-108,-191
-52,-100,-195
-52,-98,-200
-57,-95,-197
-64,-86,-200
-57,-86,-207
-58,-70,-208
-63,-66,-221
-63,-61,-216
-55,-50,-220
-59,-50,-222
-55,-53,-220
-46,-58,-231
-45,-50,-227
-42,-54,-233
-29,-45,-239
-28,-49,-236
-23,-47,-243
-24,-38,-247
-13,-37,-250
-11,-28,-253
-5,-27,-252
0,-22,-252
-4,-37,-245
9,-34,-249
9,-36,-247
27,-40,-255
35,-41,-249
44,-38,-247
55,-44,-253
63,-50,-254
70,-48,-252
77,-50,-247
91,-43,-247
97,-40,-240
105,-34,-244
111,-32,-243
119,-31,-242
118,-32,-240
132,-21,-238
136,-19,-234
144,-14,-233
141,-19,-229
149,-18,-231
141,-22,-229
145,-29,-229
135,-37,-226
126,-43,-232
116,-56,-238
112,-55,-234
102,-61,-231
82,-62,-234
69,-63,-238
48,-66,-240
35,-57,-242
29,-56,-248
14,-55,-247
5,-51,-250
-3,-45,-252
-13,-35,-240
-31,-31,-239
-33,-22,-229
-43,-22,-239
-43,-24,-232
-55,-8,-224
-62,-3,-220
-65,-6,-216
-73,0,-215
-70,8,-213
-73,14,-212
-76,18,-202
-72,22,-211
-75,27,-204
-69,28,-202
-72,43,-204
-65,43,-204
-59,52,-210
-63,57,-211
-49,57,-213
-55,63,-215
-42,53,-221
-40,59,-210
-35,57,-223
-25,62,-228
-9,67,-231
1,69,-238
21,78,-234
38,81,-231
56,89,-224
64,88,-226
76,102,-223
82,113,-207
76,119,-201
75,132,-195
79,132,-188
78,129,-186
79,127,-185
71,129,-194
81,126,-191
84,123,-197
81,124,-196
78,121,-196
74,124,-196
69,124,-196
58,127,-202
59,129,-199
59,126,-199
49,113,-210
50,105,-223
58,80,-232
56,63,-242
52,48,-245
49,30,-249
35,2,-254
37,-15,-254
19,-28,-255
5,-49,-243
-22,-55,-234
-42,-73,-216
-72,-82,-191
-90,-93,-158
-105,-99,-137
-118,-98,-119
-113,-98,-109
-112,-101,-100
-117,-101,-95
-122,-108,-93
-112,-103,-83
-115,-111,-95
-110,-115,-88
-103,-122,-95
-97,-126,-106
-82,-130,-120
-77,-141,-135
-69,-135,-148
-63,-132,-152
-63,-125,-162
-58,-122,-169
-52,-112,-188
-59,-107,-192
-55,-95,-200
-53,-92,-204
-58,-87,-206
-55,-81,-207
-48,-74,-210
